alá	0	0	1	1	1	1
alapján	1	0	1	1	0	0
alatt	1	1	1	1	1	1
alól	1	1	1	1	1	1
által	1	0	1	1	1	1
alul	1	0	0	1	0	0
át	0	0	0	0	0	0
belül	3	0	1	1	0	0
céljából	1	0	1	1	0	2
együtt	0	0	0	0	0	0
elé	0	0	1	1	1	1
ellen	1	1	1	1	1	1
ellenére	1	0	1	1	0	2
elől	1	1	1	1	1	1
előtt	1	1	1	1	1	1
esetén	1	0	1	1	0	2
felé	1	1	1	1	1	1
felől	1	1	1	1	1	1
felül	1	0	0	0	0	0
fogva	1	0	1	1	0	0
fölé	1	1	1	1	1	1
fölött	1	1	1	1	1	1
fölül	1	0	1	1	0	1
folytán	1	0	1	3	0	2
gyanánt	1	1	1	2	2	2
hasonlóan	0	0	0	1	0	0
helyett	1	1	1	1	1	1
hosszat	1	1	1	2	2	2
innen	0	0	0	3	0	0
iránt	1	1	1	1	1	1
ízben	1	1	1	2	2	2
javára	1	0	0	1	0	1
kedvéért	1	0	0	1	0	1
képest	1	0	0	1	0	0
keresztül	0	0	0	0	0	0
kezdve	0	0	1	1	0	0
kivéve	0	0	0	1	0	0
kívül	0	0	0	1	0	0
kívülre	1	0	0	1	0	0
kívülről	1	0	1	1	0	2
köré	1	1	1	1	1	1
körül	1	1	1	1	1	3
következtében	1	0	1	1	0	2
közben	1	1	1	1	1	2
közé	1	1	1	1	1	1
közel	0	0	0	0	0	0
között	1	1	1	1	1	1
közül	1	1	1	1	1	1
létére	1	1	1	2	2	2
mellé	1	1	1	1	1	1
mellett	1	1	1	1	1	1
mellől	1	1	1	1	1	1
miatt	1	1	1	1	1	1
módjára	1	1	1	2	0	2
módra	1	1	1	2	2	2
mögé	1	1	1	1	1	1
mögött	1	1	1	1	1	1
mögül	1	1	1	1	1	1
múltán	1	1	1	1	0	2
múlva	1	1	1	2	2	2
nélkül	1	1	1	1	1	1
nézve	1	0	1	1	0	0
nyomán	1	0	1	1	0	2
óta	1	1	1	1	1	2
részére	1	0	1	1	0	1
révén	1	0	1	1	0	2
során	1	0	1	1	0	1
számára	1	0	1	1	0	1
szembe	0	0	0	1	0	0
szemben	0	0	0	1	0	0
szemből	4	4	4	4	0	0
szemközt	0	0	0	1	0	0
szerint	1	1	1	1	1	1
tájban/tájt	1	1	1	2	2	2
túl	0	0	0	0	0	0
túlra	1	0	0	1	0	0
túlról	1	0	0	1	0	0
után	1	1	1	1	1	1
útján	1	0	1	1	0	2
végett	1	1	1	1	2	1
végig	0	0	0	0	0	0
